node_id,name,smiles,feat_mw,feat_logp
C_2504,tazettine,COC1C=CC23c4cc5c(cc4COC2(O)CN(C)C3C1)OCO5,331.3680000000001,1.1607999999999996
C_2505,scopolamine,CN1[C@H]2C[C@H](OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21,303.358,0.9180999999999995
C_2506,caffeic acid,O=C(O)C=Cc1ccc(O)c(O)c1,180.159,1.1956
C_2507,avicularin,O=c1c(O[C@@H]2O[C@@H](CO)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,434.3530000000002,0.10019999999999951
C_2508,oleanolic acid,CC1(C)CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C2C1,456.7110000000003,7.233600000000009
C_2509,pseudotropine,CN1[C@H]2CC[C@@H]1C[C@@H](O)C2,141.21399999999997,0.6038999999999999
C_2510,kumatakenin,COc1cc(O)c2c(=O)c(OC)c(-c3ccc(O)cc3)oc2c1,314.293,2.8884000000000007
C_2511,abyssinone ii,CC(C)=CCc1cc(C2CC(=O)c3ccc(O)cc3O2)ccc1O,324.37600000000003,4.313000000000004
C_2512,myricetin,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,318.237,1.6935999999999998
C_2513,corosolic acid,C[C@@H]1[C@H]2C3=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C(=O)O)CC[C@H]1C,472.71000000000043,6.060300000000007
C_2514,elemol,C=C[C@]1(C)CC[C@@H](C(C)(C)O)C[C@H]1C(=C)C,222.37199999999996,3.942000000000003
C_2515,chlorogenic acid,O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,354.31100000000004,-0.6459000000000001
C_2516,ledol,C[C@@H]1CC[C@H]2[C@@H]1[C@H]1[C@@H](CC[C@@]2(C)O)C1(C)C,222.37199999999996,3.4657000000000027
C_2517,homolycorine,COc1cc2c(cc1OC)[C@H]1[C@H]3C(=CC[C@H]1OC2=O)CCN3C,315.3690000000001,2.3606000000000007
C_2518,"3,3,6-trimethylhepta-1,5-dien-4-ol",C=CC(C)(C)C(O)C=C(C)C,154.25299999999996,2.5257000000000005
C_2519,delta-cadinol,CC1=C[C@H]2[C@H](C(C)C)CC[C@@](C)(O)[C@H]2CC1,222.37199999999996,3.7759000000000027
C_2520,acacetin,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,284.267,2.8798000000000012
C_2521,isosakuranetin,COc1ccc(C2CC(=O)c3c(O)cc(O)cc3O2)cc1,286.283,2.812900000000001
C_2522,sesamin,c1cc2c(cc1C1OCC3C(c4ccc5c(c4)OCO5)OCC13)OCO2,354.3580000000002,3.2192000000000016
C_2523,thymol,Cc1ccc(C(C)C)c(O)c1,150.221,2.824020000000001
C_2524,gamma-cadinene,C=C1CC[C@H](C(C)C)[C@H]2C=C(C)CC[C@H]12,204.35699999999994,4.581100000000004
C_2525,flindersine,CC1(C)C=Cc2c(O)nc3ccccc3c2O1,227.263,3.124600000000001
C_2526,viridiflorol,C[C@@H]1CC[C@H]2[C@@H]1C1[C@@H](CC[C@]2(C)O)C1(C)C,222.37199999999996,3.4657000000000027
C_2527,sabinene,C=C1CCC2(C(C)C)CC12,136.238,2.9987000000000013
C_2528,p-hydroxybenzoic acid,O=C(O)c1ccc(O)cc1,138.12199999999999,1.0903999999999998
C_2529,isofraxidin,COc1cc2ccc(=O)oc2c(OC)c1O,222.19599999999997,1.5157999999999998
C_2530,lycoramine,COc1ccc2c3c1O[C@H]1C[C@@H](O)CC[C@@]31CCN(C)C2,289.375,2.0743
C_2531,malic acid,O=C(O)CC(O)C(=O)O,134.087,-1.0934000000000001
C_2532,eriodictyol,O=C1C[C@@H](c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21,288.25500000000005,2.215500000000001
C_2533,mucusisoflavone c,CC(C)=CCc1cc(-c2coc3c(C(C=C(C)C)c4cc(-c5coc6cc(O)cc(O)c6c5=O)ccc4O)c(O)cc(O)c3c2=O)ccc1O,674.7020000000003,8.073799999999999
C_2534,selinene,C=C(C)C1CCC2(C)CCC=C(C)C2C1,204.35699999999997,4.7252000000000045
C_2535,luteolin 7-gentiobioside,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O[C@@H]3OC(CO[C@@H]4OC(CO)[C@H](O)[C@H](O)C4O)[C@@H](O)[C@H](O)C3O)cc(O)c12,610.5210000000003,-2.4203000000000006
C_2536,cycloartenol,CC(C)=CCCC(C)C1CCC2(C)C3CCC4C(C)(C)C(O)CCC45CC35CCC12C,426.7290000000003,8.168900000000008
C_2537,abyssinone iii,CC(C)=CCc1cc(C2CC(=O)c3ccc(O)cc3O2)cc2c1OC(C)(C)C=C2,390.47900000000016,5.791600000000006
C_2538,droserone,CC1=C(O)C(=O)c2c(O)cccc2C1=O,204.18099999999998,1.6032000000000002
C_2539,erysotrine,COc1cc2c(cc1OC)[C@]13C[C@@H](OC)C=CC1=CCN3CC2,313.3970000000001,2.6721000000000013
C_2540,ingenol,CC1=C[C@]23C(=O)[C@@H](C=C(CO)[C@@H](O)[C@]2(O)[C@H]1O)[C@H]1[C@@H](C[C@H]3C)C1(C)C,348.43900000000014,0.8151999999999993
C_2541,myricetin 3-xyloside,O=c1c(O[C@@H]2OC[C@@H](O)C(O)C2O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,450.3520000000002,-0.19419999999999993
C_2542,bornyl acetate,CC(=O)OC1CC2CCC1(C)C2(C)C,196.29,2.7643000000000013
C_2543,pretazettine,CO[C@@H]1C=C[C@@]23c4cc5c(cc4[C@H](O)O[C@H]2CN(C)[C@H]3C1)OCO5,331.3680000000001,1.3316999999999997
C_2544,arborinine,COc1cc2c(c(O)c1OC)c(=O)c1ccccc1n2C,285.29900000000004,2.4145000000000003
C_2545,pyrogallol,Oc1cccc(O)c1O,126.11099999999998,0.8033999999999997
C_2546,taraxerone,CC1(C)CC[C@]2(C)CC=C3[C@@](C)(CC[C@H]4[C@@]3(C)CC[C@H]3C(C)(C)C(=O)CC[C@@]34C)[C@@H]2C1,424.7130000000003,8.377100000000006
C_2547,combretastatin a-4,COc1ccc(/C=C/c2cc(OC)c(OC)c(OC)c2)cc1O,316.353,3.5970000000000035
C_2548,ingol,C/C1=C\[C@@]23O[C@@]2(C[C@H](C)[C@@H]3O)C(=O)[C@H](C)[C@H](O)C2C([C@H](O)[C@@H]1O)C2(C)C,366.4540000000001,0.41489999999999955
C_2549,combretastatin,COc1ccc(CC(O)c2cc(OC)c(OC)c(OC)c2)cc1O,334.36800000000005,2.7027000000000014
C_2550,nitidine,COc1cc2c[n+](C)c3c4cc5c(cc4ccc3c2cc1OC)OCO5,348.37800000000016,3.7166000000000023
C_2551,luteolin 3'-glucoside,O=c1cc(-c2ccc(O)c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c2)oc2cc(O)cc(O)c12,448.3800000000001,-0.2445000000000005
C_2552,nitidulin,COc1ccc(C2COc3c(ccc4c3C=CC(C)(CCC=C(C)C)O4)C2)c(O)c1O,422.52100000000024,5.735800000000006
C_2553,casticin,COc1ccc(-c2oc3cc(OC)c(OC)c(O)c3c(=O)c2OC)cc1O,374.34500000000014,2.905600000000002
C_2554,isopropyl isothiocyanate,CC(C)N=C=S,101.174,1.4976
C_2555,sigmoidin a,CC(C)=CCc1cc(C2CC(=O)c3c(O)cc(O)cc3O2)c(CC=C(C)C)c(O)c1O,424.4930000000002,5.232900000000006
C_2556,neoschaftoside,O=c1cc(-c2ccc(O)cc2)oc2c([C@H]3OC[C@H](O)[C@H](O)[C@H]3O)c(O)c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c12,564.4960000000002,-1.7543000000000006
C_2557,betulinic acid,C=C(C)[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,456.7110000000003,7.089500000000009
C_2558,dictamnine,COc1c2ccccc2nc2occc12,199.20899999999995,2.989600000000001
C_2559,"2,7,7-trimethylcyclohepta-2,4-dien-1-one",CC1=CC=CCC(C)(C)C1=O,150.221,2.4879000000000007
C_2560,pomolic acid,C[C@@H]1CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2[C@]1(C)O,472.7100000000003,6.204400000000009
C_2561,euphol,CC(C)=CCC[C@@H](C)[C@@H]1CC[C@]2(C)C3=C(CC[C@@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1CC3,426.7290000000002,8.479100000000006
C_2562,arjunolic acid,CC1(C)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@]43C)[C@@H]2C1,488.7090000000003,5.176800000000005
C_2563,erycristagallin,CC(C)=CCc1cc2c(cc1O)OCc1c-2oc2c(CC=C(C)C)c(O)ccc12,390.47900000000016,6.420800000000006
C_2564,homobutein,COc1cc(/C=C/C(=O)c2ccc(O)cc2O)ccc1O,286.283,2.7081000000000013
C_2565,piperitone,CC1=CC(=O)C(C(C)C)CC1,152.23699999999997,2.567800000000001
C_2566,glutinol,CC1(C)CC[C@]2(C)CC[C@]3(C)[C@H]4CC=C5[C@@H](CC[C@H](O)C5(C)C)[C@]4(C)CC[C@@]3(C)[C@@H]2C1,426.72900000000027,8.168900000000008
C_2567,decyl acetate,CCCCCCCCCCOC(C)=O,200.32199999999997,3.6902000000000026
C_2568,nimbin,COC(=O)CC1C2(C)C3=C(C)C(c4ccoc4)CC3OC2C(OC(C)=O)C2C(C)(C(=O)OC)C=CC(=O)C21C,540.6090000000003,3.922400000000003
C_2569,phellandral,CC(C)C1CC=C(C=O)CC1,152.23699999999997,2.567800000000001
C_2570,plumbagin,CC1=CC(=O)c2c(O)cccc2C1=O,188.182,1.7175
C_2571,cadalene,Cc1ccc2c(C)ccc(C(C)C)c2c1,198.309,4.580040000000004
C_2572,caryophyllene,C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,204.35699999999997,4.7252000000000045
C_2573,haemanthamine,CO[C@@H]1C=C[C@@]23c4cc5c(cc4CN(C[C@@H]2O)[C@H]3C1)OCO5,301.34200000000004,1.1866999999999996
C_2574,5-o-methylembelin,CCCCCCCCCCCC1=C(O)C(=O)C=C(OC)C1=O,308.41800000000006,4.401500000000003
C_2575,lupeol,C=C(C)[C@@H]1CC[C@]2(C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12,426.72900000000027,8.02480000000001
